CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_LAT|CAND_LONG|CAND_ZIP|CAND_CITY|CAND_STATE
H4OK05066|SMITH, BERT|DEM|2006|OK|H|O|C00397513|35.505733112499996|-97.47160356250001|73123|OKLAHOMA CITY|OK
H4OK06056|LUCAS, FRANK D|REP|2006|OK|H|I|C00287912|35.603809|-99.6728|73628|CHEYENNE|OK
H4OR01063|PHILLIPS, TIMOTHY CHARLES|REP|2004|OR|H|C|C00387118|45.52874850793652|-122.5663985079365|97209|PORTLAND|OR
H4OR01071|MESHELL, JASON DAVID CASTLE|REP|2004|OR|H|C|C00387787|45.52792633333333|-122.94390266666666|97124|HILLSBORO|OR
H4OR01089|AMERI, GOLI YAZDI|REP|2004|OR|H|C|C00388405|45.43884|-122.78224|97223|TIGARD|OR
H4OR01105|WOLF, DEAN O|OTH|2006|OR|H|C||45.469079|-122.85602|97007|ALOHA|OR
H4OR02145|BROWN, JACK A JR|OTH|2006|OR|H|C|C00403840|42.4215625|-123.39163425|97526|GRANTS PASS|OR
H4OR03069|BROOKS, JERRY W|REP|2004|OR|H|C|C00387373|45.52874850793652|-122.5663985079365|97211|PORTLAND|OR
H4OR03085|MARS, TAMI L|REP|2004|OR|H|C|C00389338|45.52874850793652|-122.5663985079365|97220|PORTLAND|OR
H4OR04075|FELDKAMP, JAMES LEE|REP|2006|OR|H|C|C00392985|44.036171857142854|-123.08967714285714|97401|EUGENE|OR
H4OR05163|ZUPANCIC, JIM D|REP|2004|OR|H|C|C00386433|45.410759999999996|-122.70301|97035|LAKE OSWEGO|OR
H4OR05171|WINTERS, JACKIE|REP|2004|OR|H|C|C00391730|44.95135007692308|-122.93249292307691|97302|SALEM|OR
H4OR05189|KAZA, ANDREW LEE|DEM|2004|OR|H|C|C00394015|45.720836|-123.93471|97130|MANZANITA|OR
H4PA00014|HOSTETLER, RONALD E|REP|2004|PA|H|C|C00384586|40.277923|-76.6434|17033|HERSHEY|PA
H4PA03075|PORTER, STEVEN CLARK|DEM|2006|PA|H|C|C00388637|42.029506|-79.82547|16442|WATTSBURG|PA
H4PA04099|LARCHUK, STEVEN B|OTH|2004|PA|H|C|C00400812|40.508376|-80.35953|15026|CLINTON|PA
H4PA06045|MURPHY, LOIS|DEM|2006|PA|H|C|C00395095|40.012862|-75.23309|19004|BALA CYNWYD|PA
H4PA07027|WELDON, CURTIS W.|REP|2006|PA|H|I|C00175869|39.897677|-75.50109|19342|Glen Mills|PA
H4PA07068|PHILIPS, GREGORY W|DEM|2004|PA|H|C|C00389387|40.038047000000006|-75.5616525|19406|KING OF PRUSSIA|PA
H4PA07076|SCOLES, PAUL|DEM|2006|PA|H|C|C00404376|40.000861|-75.29694|19003|ANDMORE|PA
H4PA08058|SCHRADER, VIRGINIA|DEM|2006|PA|H|C|C00394585|40.214661|-74.81812|19067|YARDLEY|PA
H4PA08074|FITZPATRICK, MICHAEL G|REP|2006|PA|H|I|C00404236|40.211121|-74.93439333333333|19056|LEVITTOWN|PA
H4PA10047|HANNEVIG, VERONICA A|CST|2004|PA|H|C||41.583517|-75.51015|18407|SIMPSON|PA
H4PA13017|HOEFFEL, JOSEPH M|DEM|2004|PA|H|C|C00314120|40.09811|-75.10949|19046|JENKINTOWN|PA
H4PA13124|SCHWARTZ, ALLYSON|DEM|2006|PA|H|I|C00389197|39.99641823809524|-75.13775460714287|19119|PHILADELPHIA|PA
H4PA13132|TORSELLA, JOSEPH M|DEM|2004|PA|H|C|C00390336|40.107743|-75.21334|19031|FLOURTOWN|PA
H4PA13140|RUTTER, SCOTT E LIEUTENANT COLONEL|REP|2004|PA|H|C|C00393496|39.99641823809524|-75.13775460714287|19154|PHILADELPHIA|PA
H4PA15087|DENT, CHARLES W|REP|2006|PA|H|I|C00386847|40.61434644444445|-75.51798822222223|18104|ALLENTOWN|PA
H4PA15103|DODGE, ROBERT|DEM|2004|PA|H|C|C00393546|40.311246|-75.594|19525|GILBERTSVILLE|PA
H4PA15111|DRISCOLL, JOSEPH E|DEM|2004|PA|H|C|C00395269|40.61434644444445|-75.51798822222223|18103|Allentown|PA
H4PA15129|BROWNE, GRETA|GRE|2006|PA|H|C||40.652357571428574|-75.38725485714285|18042|BETHLEHEM|PA
H4PA16051|HERR, LOIS K K|DEM|2006|PA|H|C|C00398495|40.160793|-76.60763|17022|ELIZABETHTOWN|PA
H4PA17042|RYAN, FRANK|REP|2006|PA|H|C|C00385468|40.3388925|-76.424225|17042|LEBANON|PA
H4PA17059|HELM, SUSAN C|REP|2004|PA|H|C|C00390450|40.28232126923077|-76.85854892307692||HARRISBURG|PA
H4PA17067|PATERNO, GEORGE SCOTT|REP|2004|PA|H|C|C00392829|40.270367|-76.7048|17036|HUMMELSTOWN|PA
H4PA17075|STEWART, MARK S.|REP|2004|PA|H|C|C00393074|40.28232126923077|-76.85854892307692|17110|HARRISBURG|PA
H4PA17083|LOTWICK, JOHN R MR.|Rep|2004|PA|H|C|C00393710|40.270367|-76.7048|17036|HUMMELSTOWN|PA
H4PA18131|DOYLE, MIKE|DEM|2006|PA|H|I|C00290064|40.43987933333333|-80.00114248717952|15221|PITTSBURGH|PA
H4PA18156|BOLES, MARK|DEM|2004|PA|H|C|C00388272|40.431034|-79.76526|15146|MONROEVILLE|PA
H4PA21051|ENGLISH, PHILIP S|REP|2006|PA|H|I|C00283606|42.151732899999985|-80.07632549999998|16507|ERIE|PA
H4PR00053|COLON, CHARLES A. RODRIGUEZ|NPP|2004|PR|H|C|C00386037|18.416992810810818|-66.06193945945944|00907|SAN JUAN|PR
H4PR00061|PRATS PALERM, ROBERTO L|DEM|2004|PR|H|C|C00387662|18.416992810810818|-66.06193945945944|00911|SAN JUAN|PR
H4PR00079|FORTUNO, LUIS|REP|2008|PR|H|C|C00410415|18.416992810810818|-66.06193945945944|00926|SAN JUAN|PR
H4RI01034|KENNEDY, PATRICK J|DEM|2006|RI|H|I|C00326140|41.87166033333333|-71.37166633333334|02860|PAWTUCKET|RI
H4RI01075|CROSBY, MARGARET BARBER|REP|2004|RI|H|C|C00392001|41.82769961538462|-71.43406653846154|02906|PROVIDENCE|RI
H4RI02057|BARTON, ARTHUR C III|REP|2004|RI|H|C|C00393082|41.649733|-71.46815|02818|EAST GREENWICH|RI
H4RI02065|HAMILTON, JOHN D|DEM|2004|RI|H|C|C00403287|41.385256|-71.66813|02813|CHARLESTOWN|RI
H4SC01073|SANFORD, MARSHALL C JR|REP|1998|SC|H|C|C00285254|32.857942421052634|-79.92915105263158|29402|CHARLESTON|SC
H4SC02048|ELLISOR, MICHAEL RAY|DEM|2004|SC|H|C|C00403766|33.94478566666667|-81.23911833333334|29072|LEXINGTON|SC
H4SC04044|WELLS, CAROLE CHAMBERS|REP|2004|SC|H|C|C00389734|34.758703|-82.0483|29388|WOODRUFF|SC
H4SC04077|BROWN, BRANDON PENDARUIS|DEM|2004|SC|H|C|C00400325|34.935636|-82.32238|29687|TAYLORS|SC
H4SC05041|SPENCER, ALBERT FRANKLIN|REP|2004|SC|H|C|C00400069|35.045698|-81.65656166666668|29340|GAFFNEY|SC
H4SC06064|MCLEOD, GARY MILLER|REP|2006|SC|H|C|C00299214|33.647611|-80.21281|29102|MANNING|SC
H4SC06072|REINO, MICHAEL P|REP|2004|SC|H|C|C00396903|34.140783000000006|-79.73312366666666|29505|FLORENCE|SC
H4SD14016|UNRUH, ALLEN DALE|REP|2004|SD|H|C|C00394536|43.6194702|-96.766635|57103|SIOUX FALLS|SD
H4TN01060|SMITH, DAVID RANDALL II|REP|2004|TN|H|C|C00396382|36.52616033333333|-82.48835266666667|37660|KINGSPORT|TN
H4TN01078|LEONARD, GRAHAM|DEM|2004|TN|H|C|C00403295|36.52616033333333|-82.48835266666667|37660|KINGSPORT|TN
H4TN01110|PEAVLER, MICHAEL|IND|2006|TN|H|O||36.293805|-82.49704|37659|JONESBOROUGH|TN
H4TN03157|GRIFFIN, JUNE|REP|2006|TN|H|C||35.495894|-85.01032|37321|DAYTON|TN
H4TN03173|VANDAGRIFF, DOUG|REP|2006|TN|H|C||35.081716523809526|-85.25797933333335|37411|CHATTANOOGA|TN
H4TN04015|GORDON, BARTON JENNINGS|DEM|2006|TN|H|I|C00196915|35.84854742857143|-86.40598200000001|37130|MURFREESBORO|TN
H4TN04106|HILL, RICHARD|REP|2004|TN|H|C|C00393587|35.9924405|-85.01945275|38555|CROSSVILLE|TN
