CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_ZIP|CAND_CITY|CAND_STATE
S2OH00030|DENNERLL, NORBERT G JR|DEM|1982|OH|S|C|C00156026|44028|COLUMBIA TOWNSHIP|OH
S2OH00063|PFEIFER, PAUL EDWARD|REP|1982|OH|S|C|C00155697|44820|BUCYRUS|OH
S2OH00105|HYATT, JOEL|DEM|1992|OH|S|C|C00253203||CLEVELAND|OH
S2OH00113|DEWINE, R MICHAEL|REP|1992|OH|S|C|C00259598|45314|CEDARVILLE|OH
S2OH00121|HOWARD, MILDRED (MILLIE) T|IND|1992|OH|S|C|C00262154|45157|NEW RICHMOND|OH
S2OH00139|RHODES, GEORGE|REP|1992|OH|S|C||44124|MAYFIELD HEIGHTS|OH
S2OH00147|GREVATT, MARTHA KATHRYN|IND|1992|OH|S|C||44110|CLEVELAND|OH
S2OK00020|LEWIS, STEPHEN CHARLES|DEM|1992|OK|S|C|C00252007||SHAWNEE|OK
S2OK00038|HANEY, ENOCH KELLY|DEM|1992|OK|S|C|C00262022|73140|MIDWEST CITY|OK
S2OK00046|TRENT, PAUL EDWARD|IND|1992|OK|S|C|C00271445|73130|MIDWEST|OK
S2OK00053|EDWARDS, ROY|IND|1992|OK|S|C||73034|EDMOND|OK
