CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_LAT|CMTE_LONG|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00186338|UNITED FOOD & COMMERCIAL WORKERS, LOCAL 1222|U|Q|||L|FOOD & COMMERCIAL WRKRS INT UNION, UN|32.89411814814816|-116.99533772839506|92108|SAN DIEGO|CA
C00186346|AMERICAN HEALTH CAPITAL PAC|U|N|||C|AMERICAN HEALTH CAPITAL INC|38.89531540217391|-77.01958254710144|20036|WASHINGTON|DC
C00186353|TASTY BAKING COMPANY POLITICAL ACTION COMMITTEE|U|N|||C|TASTY BAKING COMPANY|39.99641823809524|-75.13775460714287|19129|PHILADELPHIA|PA
C00186379|LABORER'S LOCAL 210 FEDERAL POLITICAL ACTION COMMITTEE|U|Q|||L|LABORER'S INT'L UNION OF NORTH AMERICA|42.86095690909091|-78.84706422727274|14202|BUFFALO|NY
C00186403|MAS ODOI FOR CONGRESS COMMITTEE|P|H|REP|H8CA31106|||33.811667799999995|-118.31364399999998|90501|TORRANCE|CA
C00186478|AMAIZO POLITICAL ACTION COMMITTEE|U|N|||C|AMERICAN MAIZE-PRODUCTS COMPANY|41.5754432|-87.46936380000001|46320|HAMMOND|IN
C00186486|ARIZONA RIGHT TO LIFE PAC|U|N|||M|NONE|33.363527500000004|-111.994716625|85282|TEMPE|AZ
C00186494|DAIRYMEN INC-PENNSYLVANIA COMMITTEE FOR POLITICAL ACTION|U|Q|||V|DAIRYMEN, INC.|39.8610685|-77.2212665|17325|GETTYSBURG|PA
C00186544|ALISON MOREY BARDEN FOR U S CONGRESS CAMP|P|H|REP|H4WA01100|||47.53192905084746|-122.12633125423729|98125|SEATTLE|WA
C00186569|ROB QUARTEL FOR CONGRESS COMMITTEE|P|H||H4FL11014|||28.520516629032265|-81.28818522580643|32822|ORLANDO|FL
