CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00125716|VULCAN MATERIALS COMPANY FLORIDA ROCK DIVISION POLITICAL ACTION COMMITTEE|U|Q|||C|VULCAN MATERIALS COMPANY|32206|JACKSONVILLE|FL
C00125732|BLACK HILLS CORPORATION POLITICAL ACTION COMMITTEE|U|Q|||C|BLACK HILLS POWER & LIGHT CO|57709|RAPID CITY|SD
C00126011|NATIONAL SEMICONDUCTOR CORP. EMPLOYEES PAC|U|Q|||C|NATIONAL SEMICONDUCTOR CORPORATION|95051|SANTA CLARA|CA
C00126086|STOP THE ARMS RACE POLITICAL ACTION COMMITTEE|U|Q|||M|NONE|50311|DES MOINES|IA
C00126466|DIAMOND FOODS INC POLICAL ACTION COMMITTEE|U|Q|||C|DIAMOND FOODS INC|95205|STOCKTON|CA
C00126763|NACS POLITICAL ACTION COMMITTEE|U|Q|||T|CONVENIENCE STORES; NAT'L ASS'N OF|22314|Alexandria|VA
C00126789|LONE ROCK TIMBER MANAGEMENT COMPANY POLITICAL ACTION COMMITTEE (LONE ROCK PAC)|U|Q|||C|LONE ROCK TIMBER MANAGEMENT CO|97470|ROSEBURG|OR
C00126847|KAMAN CORP. GOOD GOV'T. FUND|U|Q|||C|Kaman Corporation|06002|Bloomfield|CT
C00126961|COMMITTEE TO RE-ELECT CONGRESSMAN DUNCAN HUNTER|P|H|REP|H2CA42023|||91941|La Mesa|CA
C00127258|AIR PRODUCTS AND CHEMICALS INC. POLITICAL ALLIANCE|U|Q|||C|Air Products Pennsylvania Political Al|18087|Trexlertown|PA
C00127357|BEAR STEARNS & CO INC POLITICAL CAMPAIGN COMMITTEE FKA BEAR STEARNS PCC|U|Q|||C|BEAR STEARNS & CO. INC.|10179|NEW YORK|NY
C00127621|BAKERY, CONFECTIONERY, TOBACCO WORKERS AND GRAIN MILLERS INTERNATIONAL UNION PAC|U|Q|||L|Bakery, Confectionery, Tobacco Workers|20895|Kensington|MD
C00127670|ACTION FUND OF LEHMAN BROTHERS HOLDINGS INC.|U|Q|||C|Lehman Brothers Holdings Inc.|10019|New York|NY
C00127779|PRUDENTIAL FINANCIAL INC. POLITICAL ACTION COMMITTEE (AKA - PRUDENTIAL PAC)|U|Q|||C|Prudential Financial Inc.|07102|Newark|NJ
C00127811|FLORIDA CONGRESSIONAL COMMITTEE|U|Q|||M|NONE|33021|Hollywood|FL
C00127910|DELAWARE BANKERS ASSOCIATION DELBANKPAC - F FUND|U|Q|||T|ABA BANKPAC|19903|DOVER|DE
C00128082|HOSPITAL AND HEALTHSYSTEM ASSOC. OF PA - FEDERAL POLITICAL ACTION COMM (HAPAC)|U|Q|||T|The Hospital & Healthsystem Associatio|17105|Harrisburg|PA
C00128231|INTERNATIONAL DAIRY FOODS ASSOCIATION (IDFA) - ICE CREAM, MILK & CHEESE PAC|B|Q|||T|INTERNATIONAL DAIRY FOODS ASSOCIATION|20005|WASHINGTON|DC
C00128512|JPMORGAN CHASE & CO. PAC|U|Q|||C|JPMorgan Chase & Co.|60603|Chicago|IL
C00128520|MASSACHUSETTS CITIZENS FOR LIFE POLITICAL ACTION COMMITTEE|U|Q|||W|MASSACHUSETTS CITIZENS FOR LIFE INC|02476|ARLINGTON|MA
C00128561|TOLL BROS. INC. PAC|U|Q|||C|TOLL BROS INC|19044|Horsham|PA
C00128678|SOUTHEASTERN LUMBER MANUFACTURERS ASSOC POLITICAL ACTION COMMITTEE|U|Q|||T|LUMBER MANUFACTURERS ASS'N; STHEASTERN|30290|TYRONE|GA
C00128686|RAISIN BARGAINING ASS'N FEDERAL POLITICAL ACTION COMMITTEE|U|Q|||C|RAISIN BARGAINING ASSOCIATION|93710|FRESNO|CA
C00128868|BARNEY FRANK FOR CONGRESS COMMITTEE|P|H|DEM|H0MA04036|||02460|Newtonville|MA
C00128876|PAT ROBERTS FOR  U S SENATE INC|P|S|REP|S6KS00080|||67530|GREAT BEND|KS
C00128918|PRINCIPAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE|U|Q|||C|Principal Life Insurance Company|50392|DES MOINES|IA
C00128975|NATIONAL CONCRETE MASONRY ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||T|CONCRETE MASONRY ASS'N; NAT'L|20171|HERNDON|VA
C00129122|GENCORP POLITICAL ACTION COMMITTEE (GENPAC)|U|Q|||C|GenCorp Inc.|95813|SACRAMENTO|CA
C00129171|MINNESOTA CITIZENS CONCERNED FOR LIFE, INC. FEDERAL PAC|U|Q|||M|MINNESOTA CITIZENS CONCERNED/LIFE INC|55409|Minneapolis|MN
C00129189|NATIONAL SOCIETY OF ACCOUNTANTS POLITICAL ACTION COMMITTEE|U|Q|||T|ACCOUNTANTS; NAT'L SOCIETY OF PUBLIC|22314|ALEXANDRIA|VA
C00129205|SD ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE) SD RURAL ELECTRIC ASSOC INC|U|Q|||T|SD RURAL ELECTRIC ASSOC INC/NATIONAL R|57501|PIERRE|SD
C00129627|PIPEFITTERS POLITICAL ACTION COMMITTEE|U|Q|||C|PIPEFITTERS LOCAL 636|48334|FARMINGTON HILLS|MI
C00129668|SOCIALIST NATIONAL COMMITTEE|U|Y||||NONE|02215|BOSTON|MA
C00129742|CALIFORNIA BEET GROWERS ASSOCIATION LTD POLITICAL ACTION COMMITTEE (CAL SUGAR BEET PAC)|U|Q|||T|BEET GROWERS ASS'N LTD; CALIFORNIA|95207|STOCKTON|CA
C00129833|WASHINGTON MUTUAL POLITICAL ACTION COMMITTEE (WAMUPAC)|U|Q|||M|Providian Bancorp Services Political A|98101|Seattle|WA
C00129932|AMERICAN RESORT DEVELOPMENT ASSOCIATION POLITICAL ACTION COMMITTEE (ARDA-PAC)|U|Q|||T|AMERICAN RESORT DEVELOPMENT ASSOC|20005|WASHINGTON|DC
C00130096|DENNIS HERTEL FOR CONGRESS COMMITTEE|P|H|DEM|H0MI14149|||48381|MILFORD|MI
C00130187|DADE COUNTY FIRE FIGHTERS LOCAL 1403 PAC|U|Q|||L|FIRE FIGHTERS; INTERNATIONAL ASS'N OF|33122|MIAMI|FL
C00130385|CENTRAL PACIFIC BANK FED PAC (IKA CPB PAC- FED)|U|Q|||C|CENTRAL PACIFIC BANK|96813|HONOLULU|HI
C00130468|BUILDERS ASSOCIATION OF MISSOURI POLITICAL ACTION COMMITTEE|U|Q|||T|BUILDERS' ASSN OF KANSAS CITY|64114|KANSAS CITY|MO
C00130658|AMERICAN CONSERVATIVE UNION POLITICAL ACTION COMMITTEE (ACU-PAC)|U|Q|||T|American Conservative Union|22314|Alexandria|VA
C00130773|NATIONAL MULTI HOUSING COUNCIL POLITICAL ACTION COMMITTEE|U|Q|||T|MULTI HOUSING COUNCIL; NATIONAL|20036|Washington|DC
C00130807|SMI-PAC OF KENTUCKY|U|Q|||T|SHEET METAL/AIR CNDNG CNTRS NATL ASSN|40217|LOUISVILLE|KY
C00130831|KENTUCKY CREDIT UNION LEAGUE MEMBERS POLITICAL ACTION COMMITTEE|U|Q|||T|KENTUCKY CREDIT UNION LEAGUE INC.|40218|LOUISVILLE|KY
C00131185|AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||M|Aircraft Owners & Pilots Association|21701|Frederick|MD
C00131219|ORKIN EXTERMINATING COMPANY INC POLITICAL ACTION COMMITTEE|U|Q|||C|ROLLINS INC|30324|ATLANTA|GA
C00131557|HEARTLAND PAC|U|Q|||M|NONE|44122|Beachwood|OH
C00131607|FLORIDA CITRUS MUTUAL POLITICAL ACTION COMMITTEE INC|U|Q|||V|FLORIDA CITRUS MUTUAL|33802|LAKELAND|FL
C00131615|IRVINE COMPANY EMPLOYEES PAC, THE|U|Q|||C|THE IRVINE COMPANY|92660|NEWPORT BEACH|CA
C00131706|PIPEFITTERS LOCAL UNION #524|U|Q|||L|PLUMBING & PIPEFITTING INDUSTRY|18505|SCRANTON|PA
C00132092|ALLIANT ENERGY CORPORATION EMPLOYEE'S POLITICAL ACTION COMM|U|Q|||C|ALLIANT ENERGY CORPORATION EMPLOYEE'S|20004|Washington|DC
C00132282|EQUIPMENT LEASING AND FINANCE ASSOCIATION PAC (LEASEPAC)|U|Q|||T|Equipment Leasing and Finance Associat|20006|Washington|DC
C00132456|PROFESSIONAL SERVICES COUNCIL POLITICAL ACTION COMMITTEE|U|Q|||T|Professional Services Council|22203|ARLINGTON|VA
